oncelik,aciliyet_puani,eslesme_puani,eslesme_segmenti,sirket,pozisyon,asama,durum,kanal,basvuru,son_temas,sessiz_gun,deadline,en_zayif_boyut,eslesme_gerekcesi,sonraki_adim
🔴 KRİTİK,145,87,🟢 Güçlü eşleşme,Nebil Project,CFO Office Executive,assessment,action_required,direct,2026-08-20,2026-08-25,7,2026-08-31,Sektör yakınlığı,CFO ofisi = FP&A + yönetim raporlaması; bütçe/forecast deneyimi birebir. Executive unvanı hafif esneme.,"TestGorilla testi + 3 soruya mail yanıtı (maaş / lokasyon / 7 Eyl başlangıç). Yüz yüze mülakatlar 1-2 Eylül, hedef başlangıç 7 Eylül."
🔴 KRİTİK,141,80,🟢 Güçlü eşleşme,Puffy,"Data Analyst (Dubai, on-site)",assessment,action_required,linkedin,2026-08-01,2026-08-20,12,2026-08-22,Sektör yakınlığı,Data Analyst + DTC e-ticaret birebir; tek engel Dubai'ye taşınma zorunluluğu.,"Faz-1 yetenek değerlendirmesi (~30 dk, proctored/kameralı; başlayınca 4 saat içinde bitmeli)."
🔴 KRİTİK,129,70,🔵 İyi eşleşme,EOAI Lab,Kurucu ekip,interview_scheduling,action_required,direct,2026-08-28,2026-08-29,3,2026-09-04,Sektör yakınlığı,Kurucu ekipte analitik sahiplenme mümkün ama AI startup teknik derinlik bekleyebilir.,Online mülakat için müsaitlik bildirimi — pencere 4 Eylül'de kapanıyor.
🟠 YÜKSEK,98,77,🔵 İyi eşleşme,The Flex & Base360,Growth Marketer / Marketing,next_stage,in_progress,ats,2026-08-20,2026-08-20,12,,Sektör yakınlığı,"Growth marketing birebir; kampanya/CRO tarafı güçlü, uzaktan EU çalışma izni belirsiz.",Bir sonraki aşama görevi (adayların ~%10'u geçti).
🟠 YÜKSEK,94,91,🟢 Güçlü eşleşme,Peks Global A.Ş.,Ticari Analist,interviewed,awaiting_response,direct,2026-08-25,2026-08-28,4,,Sektör yakınlığı,Ticari analist = ticari strateji + P&L + fiyatlandırma deneyiminin tam karşılığı.,28 Ağu 12:00 Teams görüşmesi yapıldı — geri dönüş bekleniyor. 5+ iş günü geçtiyse takip maili at.
🔴 KRİTİK,93,60,🟡 Orta eşleşme,micro1,Data Analyst (AI training),assessment,action_required,direct,2026-08-03,2026-08-22,10,,Sektör yakınlığı,"Kariyer rolü değil, saatlik AI eğitim gig'i; CV'ye katkısı sınırlı.",~30 dk konuşma tabanlı AI mülakatı tamamlanmalı.
🟠 YÜKSEK,86,32,🔴 Zayıf eşleşme,Dr. Bombay (Snoop Dogg) / Deel,International Ice-Cream Taster,next_stage,action_required,direct,2026-08-31,2026-08-31,1,2026-09-17,Rol ailesi,Profille hiçbir kesişim yok — eğlence amaçlı başvuru.,60-90 sn tanıtım videosu gönder.
🟠 YÜKSEK,86,81,🟢 Güçlü eşleşme,TrendyolGo,Belirtilmemiş,interviewed,awaiting_response,ats,2026-08-05,2026-08-18,14,,Rol ailesi,Sektör birebir (q-commerce/teslimat) — Getir deneyimi doğrudan transfer olur. Rol belirsiz.,"Mülakat tamamlandı, deneyim anketi geldi — sonuç bekleniyor."
🔴 KRİTİK,86,69,🔵 İyi eşleşme,Yapı Kredi,Belirtilmemiş (peoplise başvurusu),application_incomplete,action_required,ats,2026-08-21,2026-09-01,0,,Rol ailesi,Rol belirsiz; bankacılıkta FP&A/CRM analitiği açılırsa uyum yükselir.,E-posta doğrulama linkine tıkla + CV bilgilerini doldur (spam kutusunu kontrol et).
🔴 KRİTİK,77,68,🔵 İyi eşleşme,Eren Perakende,Belirtilmemiş,assessment,action_required,ats,2026-08-05,2026-08-06,26,,Rol ailesi,Rol belirsiz; perakende sektörü yakın.,FlowQ çevrimiçi yetenek/beceri uygulaması.
🟠 YÜKSEK,76,74,🔵 İyi eşleşme,shift (joinshift.ai),Data Operations Fellow,in_process,awaiting_response,direct,2026-08-26,2026-08-26,6,,Sektör yakınlığı,Data ops analitiği uygun ama fellowship 2 yıllık deneyimin bir tık altında.,Program süreç akışı paylaşıldı — sonraki adım bildirimi bekleniyor.
🔴 KRİTİK,74,74,🔵 İyi eşleşme,Omtera,Belirtilmemiş,application_incomplete,action_required,ats,2026-08-15,2026-08-15,17,,Sektör yakınlığı,Veri danışmanlığı; rol belirsiz ama analitik odaklı olması muhtemel.,join.com üzerinden giriş yapıp başvuruyu tamamla (link 60 dk geçerliydi — yeniden tetikle).
🟡 NORMAL,55,82,🟢 Güçlü eşleşme,Dataroid,Belirtilmemiş,under_review,awaiting_response,ats,2026-08-28,2026-08-28,4,,Sektör yakınlığı,Dijital analitik ürünü; Mixpanel/kohort deneyimi doğrudan konuşuluyor.,İnceleme aşamasında.
🟡 NORMAL,55,94,🟢 Güçlü eşleşme,Obilet,Strategy Analyst,under_review,awaiting_response,linkedin,2026-08-30,2026-08-30,2,,Sektör yakınlığı,Strategy Analyst + online seyahat marketplace — rol ve sektör birlikte çok güçlü.,İnceleme aşamasında.
